,Filename,Sequences,Method,Codons,LRT p-value,cAIC,omega_3,proportion_3,DH_Rate,TH_Rate,TH_Rate_SI,num_ER_Sites,omega3_setting,SRV_setting
31,add_D_100_replicate.36,31,BUSTEDS-MH,100,0.06613856241757932,6309.992915218385,2.516303417580689,0.04427393773429098,0.02321053142395914,0.0,0.0,2.0,2.077,0.34608458
32,add_D_100_replicate.37,31,BUSTEDS-MH,100,0.2287031479563644,5908.765172288333,1.621884982336064,0.05794011397335858,0.0,0.0,0.0,0.0,2.077,0.34608458
33,add_D_100_replicate.38,31,BUSTEDS-MH,100,0.5,6342.391498987258,1.0,0.08144723731612452,0.0,1.255226069894885,0.0,,2.077,0.34608458
34,add_D_100_replicate.39,31,BUSTEDS-MH,100,0.2030426021651942,6354.005215002967,2.467494698024579,0.02973458079016163,0.0,0.0,0.0,3.0,2.077,0.34608458
35,add_D_100_replicate.4,31,BUSTEDS-MH,100,0.09549615982128701,6367.106834500318,2.806462083340821,0.02687355448699885,0.0,0.0,0.0,1.0,2.077,0.34608458
36,add_D_100_replicate.40,31,BUSTEDS-MH,100,0.4356227423584063,6424.264438966602,1.297914737399843,0.06386360311785769,0.0,0.0,0.0,0.0,2.077,0.34608458
37,add_D_100_replicate.41,31,BUSTEDS-MH,100,0.1290590233272769,6694.169169688786,3.434211304238754,0.02559799068011061,0.0,0.0,0.0,3.0,2.077,0.34608458
38,add_D_100_replicate.42,31,BUSTEDS-MH,100,0.4319723152215919,6153.478196892607,1.366712014120895,0.06629078424086508,0.0,0.2915037737963613,8.35404667879034,0.0,2.077,0.34608458
39,add_D_100_replicate.43,31,BUSTEDS-MH,100,0.4975684662695909,5984.074916309008,1.066838146796696,0.08609805989239744,0.0,0.0,0.0,0.0,2.077,0.34608458
40,add_D_100_replicate.44,31,BUSTEDS-MH,100,0.4999568578812822,6440.154357538212,1.022938098523073,0.1029758517357788,0.1589935981583452,0.1087141843365806,0.0,0.0,2.077,0.34608458
41,add_D_100_replicate.45,31,BUSTEDS-MH,100,0.4851344297394663,6564.945485189678,1.192503016444432,0.08860530472346115,0.0,0.0,0.0,0.0,2.077,0.34608458
42,add_D_100_replicate.46,31,BUSTEDS-MH,100,0.2268119350963521,6036.389119460056,2.336962695711495,0.0278756099955927,0.0,0.4213707033585489,25.53668854025697,1.0,2.077,0.34608458
43,add_D_100_replicate.47,31,BUSTEDS-MH,100,0.413400200874469,6163.343433596244,7.864054582629054,0.0022172548859685,0.09580476072839786,0.6773081215847497,0.0,0.0,2.077,0.34608458
44,add_D_100_replicate.48,31,BUSTEDS-MH,100,0.0433311700740322,6327.120962647999,9998.990001009473,0.001201673168863449,0.0,0.0,0.0,1.0,2.077,0.34608458
45,add_D_100_replicate.49,31,BUSTEDS-MH,100,0.4489849546622652,6406.072070945428,1.257364435553123,0.07570183976049225,0.0,0.0,0.0,0.0,2.077,0.34608458
46,add_D_100_replicate.5,31,BUSTEDS-MH,100,0.2861035840055501,6740.63325403488,4.285247677186435,0.008713511625738347,0.0,0.3389699386506241,0.0,0.0,2.077,0.34608458
47,add_D_100_replicate.50,31,BUSTEDS-MH,100,0.5,6257.786935186268,1.030375513739995,0.06094814545840047,0.0,0.0,0.0,0.0,2.077,0.34608458
48,add_D_100_replicate.51,31,BUSTEDS-MH,100,0.5,6186.998332510068,1.001564863437289,0.0,0.0,0.0,0.0,,2.077,0.34608458
49,add_D_100_replicate.52,31,BUSTEDS-MH,100,0.4570651480818543,6439.457903756423,1.356172513314409,0.06935298909290699,0.0,0.0,0.0,0.0,2.077,0.34608458
50,add_D_100_replicate.53,31,BUSTEDS-MH,100,0.5,6202.768123868304,1.0,0.06954236802830098,0.0,0.0,0.0,,2.077,0.34608458
51,add_D_100_replicate.54,31,BUSTEDS-MH,100,0.1376531721493865,6509.518709558279,5.969881211804995,0.01366848981037752,0.0,0.0,0.0,2.0,2.077,0.34608458
52,add_D_100_replicate.55,31,BUSTEDS-MH,100,0.247776498238082,6677.763597434443,3.199676906089297,0.02118065024725843,0.0,0.3836533307556537,0.0,3.0,2.077,0.34608458
53,add_D_100_replicate.56,31,BUSTEDS-MH,100,0.445901084734091,5841.961817466899,1.220980410991889,0.07921210128700547,0.0,0.0,0.0,0.0,2.077,0.34608458
54,add_D_100_replicate.57,31,BUSTEDS-MH,100,0.462086810113082,6351.821121977795,1.300259176189135,0.05062605254880565,0.0,0.0,0.0,0.0,2.077,0.34608458
55,add_D_100_replicate.58,31,BUSTEDS-MH,100,0.4991821457696048,6151.772763491702,1.118721609152937,0.1130965256847525,0.0,0.0,0.0,0.0,2.077,0.34608458
56,add_D_100_replicate.59,31,BUSTEDS-MH,100,0.1988845531788502,6649.625862820475,1.62933192283308,0.06785293001000392,0.0,0.0,0.0,0.0,2.077,0.34608458
57,add_D_100_replicate.6,31,BUSTEDS-MH,100,0.5,6489.947182060861,1.227923057325577,0.09395778983285294,0.0,0.0,0.0,0.0,2.077,0.34608458
58,add_D_100_replicate.60,31,BUSTEDS-MH,100,0.3343071576745549,5992.002831811063,1.518798366621683,0.06269722054560299,0.0,0.0,0.0,0.0,2.077,0.34608458
59,add_D_100_replicate.61,31,BUSTEDS-MH,100,0.198957756469932,6553.868242395649,13.32339438489934,0.003967091556565942,0.0,0.0,0.0,0.0,2.077,0.34608458
60,add_D_100_replicate.62,31,BUSTEDS-MH,100,0.4735573720945127,6485.642814795843,1.179404564082465,0.08124331760403325,0.0,0.0,0.0,0.0,2.077,0.34608458
61,add_D_100_replicate.63,31,BUSTEDS-MH,100,0.4851483440275194,6570.622668064902,1.101718533064615,0.1141585387940846,0.0,0.0,0.0,0.0,2.077,0.34608458
62,add_D_100_replicate.64,31,BUSTEDS-MH,100,0.1509336113972539,5999.353999095833,69.26287506772371,0.001351201691158959,0.0,0.0,0.0,1.0,2.077,0.34608458
63,add_D_100_replicate.65,31,BUSTEDS-MH,100,0.3448016345725138,6453.981526588637,12.33760613387136,0.002656615072637138,0.1533946659946033,0.0,0.0,0.0,2.077,0.34608458
64,add_D_100_replicate.66,31,BUSTEDS-MH,100,0.005713618176763025,6370.823699589397,40.54211790460287,0.003566586819099849,0.0,0.0,0.0,5.0,2.077,0.34608458
65,add_D_100_replicate.67,31,BUSTEDS-MH,100,0.1888007031036387,6378.447216845157,2.268174719095121,0.03505942739484071,0.002964013008261773,0.0,0.0,2.0,2.077,0.34608458
66,add_D_100_replicate.68,31,BUSTEDS-MH,100,0.2382494416611491,6559.963926099042,1.887774204455254,0.03962493452729577,0.0,0.0,0.0,0.0,2.077,0.34608458
67,add_D_100_replicate.69,31,BUSTEDS-MH,100,0.4193086487771141,6403.377193701061,1.171610048557727,0.1144928990709674,0.0,0.0,0.0,0.0,2.077,0.34608458
68,add_D_100_replicate.7,31,BUSTEDS-MH,100,0.5,6775.608238433815,1.0,0.1260931266750117,0.0,0.0,0.0,,2.077,0.34608458
69,add_D_100_replicate.70,31,BUSTEDS-MH,100,0.3833314053974083,6723.050556503237,1.538499824302634,0.05656436827434395,0.1270336059060825,0.0,0.0,0.0,2.077,0.34608458
70,add_D_100_replicate.71,31,BUSTEDS-MH,100,0.05627979447803483,6022.179454790962,9.463753407653414,0.007172070179619194,0.0,0.0,0.0,3.0,2.077,0.34608458
71,add_D_100_replicate.72,31,BUSTEDS-MH,100,0.1993258897765252,6310.985695694172,4.079525446073355,0.01230883024989607,0.0,0.0,0.0,1.0,2.077,0.34608458
72,add_D_100_replicate.73,31,BUSTEDS-MH,100,0.2787482072529041,6376.097322587343,4.367233692555375,0.00913184225535991,0.0,0.5810703531468938,0.0,0.0,2.077,0.34608458
73,add_D_100_replicate.74,31,BUSTEDS-MH,100,0.4924905838878154,6360.904468465876,1.082137085816226,0.09555375905026753,0.0,0.0,0.0,0.0,2.077,0.34608458
74,add_D_100_replicate.75,31,BUSTEDS-MH,100,0.2854307484416689,6446.925107298452,12.45284471124801,0.004145272645670077,0.0,0.468119198175182,0.0,0.0,2.077,0.34608458
75,add_D_100_replicate.76,31,BUSTEDS-MH,100,0.5,5889.897978718459,1.0,0.009790938259167487,0.001967064561906529,0.0,0.0,,2.077,0.34608458
76,add_D_100_replicate.77,31,BUSTEDS-MH,100,0.5,6349.776582078483,1.055199288563683,0.0763663667406316,0.0,0.0,0.0,0.0,2.077,0.34608458
77,add_D_100_replicate.78,31,BUSTEDS-MH,100,0.4710821745947728,6111.635095186973,1.194815107984342,0.0647920190641693,0.0,0.2920435525751187,0.0,0.0,2.077,0.34608458
78,add_D_100_replicate.79,31,BUSTEDS-MH,100,0.1079624406853738,6248.383239141152,8.942735594634634,0.006182557394846253,0.0,0.0,0.0,1.0,2.077,0.34608458
79,add_D_100_replicate.8,31,BUSTEDS-MH,100,0.04038267387878453,6271.136860907354,2.515640309945331,0.04084963567760487,0.0,0.0,0.0,4.0,2.077,0.34608458
80,add_D_100_replicate.80,31,BUSTEDS-MH,100,0.1363731039899503,6308.030955678091,2.005565222474189,0.03970424691223255,0.0,0.0,0.0,0.0,2.077,0.34608458
81,add_D_100_replicate.81,31,BUSTEDS-MH,100,0.5,6230.481882173111,1.0,0.003151071116079025,0.0,0.0,0.0,,2.077,0.34608458
82,add_D_100_replicate.82,31,BUSTEDS-MH,100,0.3254309057198496,6318.513992459108,5.59231395032556,0.004517588653016998,0.0,2.595315940361547,0.0,0.0,2.077,0.34608458
83,add_D_100_replicate.83,31,BUSTEDS-MH,100,0.5,6029.363267042505,1.0,0.1003903682902281,0.0,0.0,0.0,,2.077,0.34608458
84,add_D_100_replicate.84,31,BUSTEDS-MH,100,0.3800619639100398,6314.402712684826,4.071676429993474,0.006271433066332313,0.0,0.0,0.0,0.0,2.077,0.34608458
85,add_D_100_replicate.85,31,BUSTEDS-MH,100,0.3244719611857554,6000.466286251763,1.653475639446908,0.05614388852371115,0.1809395553775732,0.0,0.0,0.0,2.077,0.34608458
86,add_D_100_replicate.86,31,BUSTEDS-MH,100,0.5,6488.784951697867,1.002330589800706,0.0,0.0,0.0,0.0,,2.077,0.34608458
87,add_D_100_replicate.87,31,BUSTEDS-MH,100,0.3485461426042297,6488.339826063633,1.369919411180482,0.06018944522493645,0.0,0.0,0.0,0.0,2.077,0.34608458
88,add_D_100_replicate.88,31,BUSTEDS-MH,100,0.487986782372647,6464.853237596409,1.125266439824239,0.06662923176153562,0.0,0.0,0.0,0.0,2.077,0.34608458
89,add_D_100_replicate.89,31,BUSTEDS-MH,100,0.3721443922078239,6257.202070451928,1.396678184151993,0.07849566438998788,0.0,0.0,0.0,0.0,2.077,0.34608458
90,add_D_100_replicate.9,31,BUSTEDS-MH,100,0.1942861385702052,6050.064938454357,1.963152947369686,0.0417632969817532,0.0,0.0,0.0,0.0,2.077,0.34608458
91,add_D_100_replicate.90,31,BUSTEDS-MH,100,0.2043294573888489,6252.857715391773,1.946028429161679,0.05940702308060654,0.0,0.0,10.675217661865,0.0,2.077,0.34608458
92,add_D_100_replicate.91,31,BUSTEDS-MH,100,0.5,5956.554935684369,1.001563693512811,0.0,0.0,0.0,0.0,,2.077,0.34608458
93,add_D_100_replicate.92,31,BUSTEDS-MH,100,0.2293916081932464,6601.844310163349,20.14472343245023,0.003526540816553013,0.0,0.2591923839526145,0.0,2.0,2.077,0.34608458
94,add_D_100_replicate.93,31,BUSTEDS-MH,100,0.5,6291.56847732555,1.007603440777536,0.06488056389587848,0.0,0.4016122039404975,0.0,0.0,2.077,0.34608458
95,add_D_100_replicate.94,31,BUSTEDS-MH,100,0.3185843041753773,6024.598445802898,1.713775324655416,0.05953850812644069,0.0,0.06146037760008487,0.0,0.0,2.077,0.34608458
96,add_D_100_replicate.95,31,BUSTEDS-MH,100,0.406586923320448,6271.195156640445,1.444013326292192,0.0629394819955453,0.0,0.0,0.0,0.0,2.077,0.34608458
97,add_D_100_replicate.96,31,BUSTEDS-MH,100,0.3000938604341155,6346.388863937159,46.22318327782626,0.001086865157817143,0.0,0.0,0.0,1.0,2.077,0.34608458
98,add_D_100_replicate.97,31,BUSTEDS-MH,100,0.3572389972960248,6075.043390912907,2.364361205730573,0.01917778195040415,0.0,1.566304549377826,0.0,0.0,2.077,0.34608458
99,add_D_100_replicate.98,31,BUSTEDS-MH,100,0.1685100625378739,6653.187361631552,3.344592707837404,0.01930649307256878,0.0,0.0,0.0,2.0,2.077,0.34608458
100,add_D_100_replicate.99,31,BUSTEDS-MH,100,0.3989692767278183,6487.226123893531,1.428301850680071,0.07402051116356932,0.0,0.0,0.0,0.0,2.077,0.34608458
101,add_D_300_replicate.1,31,BUSTEDS-MH,300,0.5,18731.49385565451,1.0,0.1194305797983857,0.0,0.1320656616801384,0.0,,2.077,0.34608458
102,add_D_300_replicate.10,31,BUSTEDS-MH,300,0.5,17890.74913559152,1.0,0.07107423956501505,0.0,0.0,4.450509994822409,,2.077,0.34608458
103,add_D_300_replicate.100,31,BUSTEDS-MH,300,0.06467807462857211,18552.48805059707,2.701583061501373,0.02158350142547871,0.0,0.0,0.0,0.0,2.077,0.34608458
104,add_D_300_replicate.11,31,BUSTEDS-MH,300,0.326665640108034,18994.60996689146,1.914541831464134,0.02809295762917477,0.0,0.0,0.0,0.0,2.077,0.34608458
105,add_D_300_replicate.12,31,BUSTEDS-MH,300,0.3181503779223458,18697.95193793699,1.328926608264202,0.06784751233098323,0.0,0.0,0.0,0.0,2.077,0.34608458
106,add_D_300_replicate.13,31,BUSTEDS-MH,300,0.5,18857.98601531859,1.0,0.1099459348184117,0.0,0.0,0.0,,2.077,0.34608458
107,add_D_300_replicate.14,31,BUSTEDS-MH,300,0.4766874657553425,18564.52313920766,1.078647817365963,0.07866295675820895,0.0,0.0975235852075973,0.0,0.0,2.077,0.34608458
108,add_D_300_replicate.15,31,BUSTEDS-MH,300,0.1155566791994554,19023.44048705402,2.659230711340605,0.02405555899540125,0.02213718387853908,0.0,0.0,1.0,2.077,0.34608458
109,add_D_300_replicate.16,31,BUSTEDS-MH,300,0.3941856237042967,18859.07652781163,1.365885909578227,0.05277735702348046,0.0,0.3586363565541241,0.0,0.0,2.077,0.34608458
110,add_D_300_replicate.17,31,BUSTEDS-MH,300,0.05460635777348499,18757.30770235767,1.689688271982108,0.06436717490606193,0.0,0.0,0.0,2.0,2.077,0.34608458
111,add_D_300_replicate.18,31,BUSTEDS-MH,300,0.5,18504.06389223666,1.0,0.1234155364975457,0.0,0.0,0.0,,2.077,0.34608458
112,add_D_300_replicate.19,31,BUSTEDS-MH,300,0.5,18151.8218958592,1.0,0.09165771205894774,0.0,0.0,0.0,,2.077,0.34608458
113,add_D_300_replicate.2,31,BUSTEDS-MH,300,0.4711802150664693,19428.12577914156,1.215167143754367,0.07443786060912048,0.1139946382897722,0.0,0.0,0.0,2.077,0.34608458
114,add_D_300_replicate.20,31,BUSTEDS-MH,300,0.04901010210295564,18650.76747295958,1.992691294668634,0.04048513447374546,0.0,0.0,0.0,4.0,2.077,0.34608458
115,add_D_300_replicate.21,31,BUSTEDS-MH,300,0.1934522086925168,19036.52219013293,1.43293207389723,0.08546942047446081,0.009851395672527368,0.0,0.0,0.0,2.077,0.34608458
116,add_D_300_replicate.22,31,BUSTEDS-MH,300,0.3227420923248087,18871.56925445513,1.366115305028638,0.0614768426151726,0.1520623115700761,0.0,0.0,0.0,2.077,0.34608458
117,add_D_300_replicate.23,31,BUSTEDS-MH,300,0.5,18504.00453124143,1.0,0.1068341442942238,0.0,0.0,2.800306485095584,,2.077,0.34608458
118,add_D_300_replicate.24,31,BUSTEDS-MH,300,0.5,18493.34233639251,1.0,0.09665195521745581,0.09655810708755971,0.0,0.0,,2.077,0.34608458
119,add_D_300_replicate.25,31,BUSTEDS-MH,300,0.1220891341126257,19385.74395298749,1.477900405241376,0.07254757790434753,0.0,0.1260344744874217,0.0,0.0,2.077,0.34608458
120,add_D_300_replicate.26,31,BUSTEDS-MH,300,0.5,19071.95705074885,1.0,0.1183815106506447,0.0,0.0,0.0,,2.077,0.34608458
121,add_D_300_replicate.27,31,BUSTEDS-MH,300,0.04410621790413588,18288.24600369356,3.057365662781748,0.02322862862907348,0.0,0.0,1.191889662833802,6.0,2.077,0.34608458
122,add_D_300_replicate.28,31,BUSTEDS-MH,300,0.5,19162.76846121778,1.0,0.115206153977693,0.0,0.2407159110659421,0.0,,2.077,0.34608458
123,add_D_300_replicate.29,31,BUSTEDS-MH,300,0.4172430854041128,18456.1978923266,1.402367068011585,0.04192553092981701,0.0,0.6244638800828132,0.0,0.0,2.077,0.34608458
124,add_D_300_replicate.3,31,BUSTEDS-MH,300,0.1369662663489017,18163.90732776706,1.615061128527616,0.05114993889886521,0.0,0.0,0.0,0.0,2.077,0.34608458
125,add_D_300_replicate.30,31,BUSTEDS-MH,300,0.00988520220791489,18215.33986196175,3.364958625274829,0.02140188511241569,0.0,0.0,0.0,10.0,2.077,0.34608458
126,add_D_300_replicate.31,31,BUSTEDS-MH,300,0.2835304274261712,19077.18549858422,1.896204724898042,0.03371070071753984,0.0,0.01721618127405182,0.0,0.0,2.077,0.34608458
127,add_D_300_replicate.32,31,BUSTEDS-MH,300,0.4459349886782948,18681.73504358769,1.333972405850598,0.06822550628310016,0.1082989329800423,0.0,0.0,0.0,2.077,0.34608458
128,add_D_300_replicate.33,31,BUSTEDS-MH,300,0.2222305718022396,18605.22027060322,1.777536303824492,0.04073238121311771,0.0,0.0,0.0,2.0,2.077,0.34608458
129,add_D_300_replicate.34,31,BUSTEDS-MH,300,0.1059161256029173,18702.34513396095,1.678636899018181,0.05205340648574751,0.05376065274671514,0.1440029498688107,0.0,0.0,2.077,0.34608458
130,add_D_300_replicate.35,31,BUSTEDS-MH,300,0.01835637047016792,18239.51093049466,4.553653432897308,0.01332058888419403,0.02900852677742844,0.0,0.0,6.0,2.077,0.34608458
131,add_D_300_replicate.36,31,BUSTEDS-MH,300,0.275687447016293,18894.94103199954,2.081941165713805,0.03072523873934243,0.0,0.2268519331103255,0.0,0.0,2.077,0.34608458
132,add_D_300_replicate.37,31,BUSTEDS-MH,300,0.5,17842.82172869402,1.0,0.07596854445423577,0.05484302316824317,0.0,0.0,,2.077,0.34608458
133,add_D_300_replicate.38,31,BUSTEDS-MH,300,0.05496662456616791,18407.10086382451,1.662803893313382,0.06329356504615956,0.03302871709941164,0.0,0.0,0.0,2.077,0.34608458
134,add_D_300_replicate.39,31,BUSTEDS-MH,300,0.5,19434.57762231407,1.0,0.1030183560171201,0.0,0.0,0.0,,2.077,0.34608458
135,add_D_300_replicate.4,31,BUSTEDS-MH,300,0.5,19491.94504964578,1.0,0.1058008930549846,0.0,0.06628462496177047,0.0,,2.077,0.34608458
136,add_D_300_replicate.40,31,BUSTEDS-MH,300,0.4972731763136458,18976.48621252565,1.027957509565481,0.1009044949699755,0.0,0.0,0.0,0.0,2.077,0.34608458
137,add_D_300_replicate.41,31,BUSTEDS-MH,300,0.1869953624462746,19359.47758875057,1.532601453952039,0.05330650393616403,0.0,0.0,0.0,0.0,2.077,0.34608458
138,add_D_300_replicate.42,31,BUSTEDS-MH,300,0.5,19273.23078739133,1.0,0.09992474672369675,0.0,0.0,0.0,,2.077,0.34608458
139,add_D_300_replicate.43,31,BUSTEDS-MH,300,0.5,18592.62873735788,1.007811910303519,0.1028399513501185,0.0,0.0,0.0,0.0,2.077,0.34608458
140,add_D_300_replicate.44,31,BUSTEDS-MH,300,0.2546566142613333,18229.20098746352,1.421168593829745,0.05915226151194967,0.0,0.1993630783574974,0.0,0.0,2.077,0.34608458
141,add_D_300_replicate.45,31,BUSTEDS-MH,300,0.1153053799560054,18107.16666365191,4.003934577625012,0.01199099891475607,0.02687488253107739,0.0,0.0,0.0,2.077,0.34608458
142,add_D_300_replicate.46,31,BUSTEDS-MH,300,0.3224852804904665,18994.96245914853,2.594089356514039,0.01240652234685621,0.0,0.0,1.67584633598378,0.0,2.077,0.34608458
143,add_D_300_replicate.47,31,BUSTEDS-MH,300,0.4960446180512091,18460.2906528605,1.021960599845491,0.1047592804988296,0.0,0.07478118362011606,0.0,0.0,2.077,0.34608458
144,add_D_300_replicate.48,31,BUSTEDS-MH,300,0.5,19291.72012868911,1.0,0.07277743681476383,0.1569325261520597,0.0,1.271909726927689,,2.077,0.34608458
145,add_D_300_replicate.49,31,BUSTEDS-MH,300,0.4075026279345578,19288.6575402863,1.811009464021697,0.024156279173154,0.0,0.0,0.0,0.0,2.077,0.34608458
146,add_D_300_replicate.5,31,BUSTEDS-MH,300,0.1404305881880595,18908.06556378125,1.47552980495793,0.06163792046540145,0.0,0.0,0.0,0.0,2.077,0.34608458
147,add_D_300_replicate.51,31,BUSTEDS-MH,300,0.5,18959.96177423333,1.0,0.1052036208832203,0.002913977915838231,0.3143815595797094,2.092270293052953,,2.077,0.34608458
148,add_D_300_replicate.53,31,BUSTEDS-MH,300,0.04634437590575968,18675.15712674909,2.847796176024636,0.01956864609214584,0.0,0.2578741929941501,0.0,1.0,2.077,0.34608458
149,add_D_300_replicate.55,31,BUSTEDS-MH,300,0.4742409306760825,18901.57617399112,1.176583842729305,0.0526847020209693,0.0,0.0,0.0,0.0,2.077,0.34608458
150,add_D_300_replicate.56,31,BUSTEDS-MH,300,0.4894115258380269,18817.60061315721,1.121254184456551,0.0844978468601249,0.0,0.0722117855598271,0.0,0.0,2.077,0.34608458
151,add_D_300_replicate.57,31,BUSTEDS-MH,300,0.1463860190381474,19088.99953837904,2.149350317032902,0.03787682012000856,0.0,0.0,0.0,0.0,2.077,0.34608458
152,add_D_300_replicate.58,31,BUSTEDS-MH,300,0.009489359913114837,19442.23526125072,18.70655220459252,0.002208396039566808,0.0,0.0,0.0,5.0,2.077,0.34608458
153,add_D_300_replicate.59,31,BUSTEDS-MH,300,0.1173200107780393,18714.53902478799,1.901871382047702,0.04170539612989228,0.0,0.0,0.0,2.0,2.077,0.34608458
154,add_D_300_replicate.6,31,BUSTEDS-MH,300,0.1851429074743402,18132.857081,1.363294568479908,0.07165096521520092,0.0,0.0,0.0,0.0,2.077,0.34608458
155,add_D_300_replicate.60,31,BUSTEDS-MH,300,0.01438694497515935,18709.24521023208,1.980805452889237,0.05641430622425892,0.0,0.001159501091154943,0.0,2.0,2.077,0.34608458
156,add_D_300_replicate.61,31,BUSTEDS-MH,300,0.07751661029734846,18702.08449910217,2.090753598886534,0.03870410120666936,0.0,0.0,0.0,4.0,2.077,0.34608458
