Gene,Method,Simulation,Sequences,Codons,LRT p-value,cAIC,w1,p1,w2,p2,w3,p3,CV(omega),SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,CV(alpha)_calculated,CV(alpha)_simulated,DH_Rate,TH_Rate,TH_Rate_SI,BUSTEDS-MH_num_ER_Sites,BUSTEDS-MH_ER_Sites,BUSTEDS_num_ER_Sites,BUSTEDS_ER_Sites
2552.replicate.2,BUSTEDS-MH,null-2.0,38.0,5000.0,0.1897052646403766,184641.9916320438,0.855,0.3347,0.9409,0.0532,1.1355,0.612,0.12009087866821755,0.0,0.0597,0.8591,0.5962,1.4177,1.4177,0.7683038265667548,2.0,0.002477283308712792,0.0,0.0,0.0,,,
2552.replicate.2,BUSTEDS-MH,null-2.3,38.0,5000.0,0.5,185133.1680935693,0.616,0.0,0.9872,1.0,12.562,0.0,1.1745636894019826,0.0,0.0448,0.7362,0.4614,1.3373,1.3373,0.7912394115165345,2.3,0.0,0.0,0.0,,,,
2552.replicate.3,BUSTEDS,null-2.0,38.0,5000.0,0.09636710381448027,185089.5014100488,0.8776,0.5637,0.9573,0.3747,2.6116,0.0616,0.5392730272433436,0.0,0.0414,0.7576,0.4889,1.3404,1.3404,0.78469711842061,2.0,,,,,,0.0,
2552.replicate.3,BUSTEDS,null-2.3,38.0,5000.0,0.4891623533074218,184288.4603999484,0.5517,0.0,0.8876,0.1825,1.0332,0.8175,0.2446399330406245,0.0652,0.0804,0.9252,0.6847,1.5379,1.5379,0.7167419513937817,2.3,,,,,,0.0,
2552.replicate.3,BUSTEDS-MH,null-2.0,38.0,5000.0,0.1442069961639493,185095.2823780766,0.8804,0.101,1.0,0.8957,9.3177,0.0033,1.0580794595631264,0.0,0.0412,0.7576,0.4898,1.3409,1.3409,0.7847885166894821,2.0,0.0,0.0,0.0,0.0,,,
2552.replicate.3,BUSTEDS-MH,null-2.3,38.0,5000.0,0.480147507915843,184294.4326554896,1.0,0.0529,1.0,0.8641,1.0732,0.083,0.033684899377102194,0.0666,0.081,0.93,0.6926,1.5485,1.5485,0.7163538156838792,2.3,0.0,0.0,0.0,0.0,,,
2552.replicate.4,BUSTEDS,null-2.0,38.0,5000.0,0.3675833500444102,183996.2839468641,0.9929,0.9978,1.0,0.002,31.8093,0.0002,1.2891454175465171,0.1052,0.0663,0.76,0.3782,1.2703,1.2703,0.669915133526095,2.0,,,,,,0.0,
2552.replicate.4,BUSTEDS,null-2.3,38.0,5000.0,0.5,183188.5196122694,0.9829,0.1272,0.9964,0.8728,3.4615,0.0,0.6425089867809244,0.0,0.0336,0.5512,0.2935,1.2457,1.2457,0.8509243099343967,2.3,,,,,,,
2552.replicate.4,BUSTEDS-MH,null-2.0,38.0,5000.0,0.4978914733511888,184002.8141995252,0.5149,0.0327,0.6108,0.0792,1.0498,0.8881,0.3211195612424205,0.0666,0.0524,0.6961,0.3399,1.2505,1.2505,0.7207170471665059,2.0,0.0,0.0004276989552162162,0.0,0.0,,,
2552.replicate.4,BUSTEDS-MH,null-2.3,38.0,5000.0,0.5,183194.5397138929,0.9784,0.5445,1.0,0.1971,1.0207,0.2583,0.01727538817400126,0.0,0.0336,0.5513,0.2936,1.2458,1.2458,0.8508950051808416,2.3,0.0,0.0,0.0,0.0,,,
